Bug,Pool,Patch#,Time,CompileError,TestFailure,Concretize,CheckedLines,CheckedLoc,CheckedChanges,AppliedChanges
chart1,PTLRH,512,3:20,474,37,"hash-local",6,25,166,132
chart3,PLRT,11075,29:2,10112,961,"neighbors",124,546,4144,3349
chart5,PTLRH,19,1:49,18,0,"hash-local",1,4,14,7
chart7,PTLRH,7,1:44,4,2,"hash-local",1,2,2,2
chart9,PLRT,18082,39:20,15438,2642,"neighbors",180,922,7550,5655
chart10,PTLRH,28,1:28,15,12,"hash-package",1,4,21,10
chart11,PTLRH,2269,4:17,2147,121,"neighbors",8,62,713,591
chart12,PTLRH,899,3:11,816,82,"neighbors",18,67,328,258
chart13,PTLRH,3732,8:27,3117,614,"hash-local",59,260,1324,1037
chart15,PLRT,25443,66:50,21935,3506,"neighbors",190,948,9123,6783
chart24,PTLRH,247,1:38,229,17,"neighbors",3,17,80,60
chart25,PTLRH,143,1:43,136,6,"neighbors",1,5,45,40
chart26,PTLRH,1106,7:18,1074,31,"hash-local",4,22,328,290
closure2,PTLRH,2039,19:45,1962,76,"neighbors,local+members",10,51,597,548
closure14,PTLRH,429,6:17,370,58,"neighbors,global",2,10,118,109
closure21,PTLRH,2,7:35,0,1,"neighbors,global",1,1,1,1
closure22,PTLRH,757,8:31,647,109,"neighbors,global",4,22,236,223
closure38,PTLRH,12232,50:2,10946,1285,"hash-local",109,475,4282,3521
closure46,PLRT,30962,114:34,27182,3778,"hash-package",236,1035,12431,9626
closure55,PLRT,36872,50:19,34232,2638,"neighbors,global",166,856,11515,9716
closure59,PTLRH,14393,91:56,13021,1371,"hash-local",150,583,5185,4176
closure73,PTLRH,8214,25:24,7431,782,"hash-local",64,289,2667,2305
closure79,PTLRH,18104,72:54,16605,1498,"neighbors",100,519,5803,4851
closure83,PTLRH,18,2:43,17,0,"neighbors,global",1,3,13,9
closure89,PTLRH,81,3:9,69,11,"neighbors",1,3,33,29
closure90,PTLRH,18,4:37,15,2,"neighbors,local+members",1,3,6,5
closure92,PTLRH,421,4:6,376,44,"hash-local",5,12,122,105
closure93,PTLRH,421,4:27,374,46,"hash-local",5,12,122,105
closure108,PTLRH,4300,18:5,4033,266,"neighbors",23,96,1299,1166
closure109,PTLRH,570,9:34,498,71,"hash-local",4,19,192,159
closure119,PTLRH,2905,13:48,2771,133,"hash-local",21,79,857,761
closure125,PTLRH,3494,38:12,3331,162,"neighbors,global",17,82,972,905
closure126,PTLRH,30,3:26,29,0,"hash-local",1,2,14,12
closure133,PLRT,30977,114:50,27403,3572,"neighbors",253,1144,11947,9218
lang6,PTLRH,8553,27:24,6220,2332,"neighbors",94,626,4466,2853
lang7,PTLRH,10274,19:31,9030,1243,"neighbors",56,364,4016,3081
lang22,PTLRH,3449,38:0,2909,539,"hash-local",26,127,1213,1021
lang24,PLRT,24231,54:0,19610,4619,"neighbors,local+members",193,1150,10033,7164
lang26,PTLRH,976,3:1,889,86,"neighbors,local+members",6,25,289,254
lang27,PTLRH,3597,5:48,3164,432,"hash-local",16,129,1458,1096
lang31,PTLRH,1289,4:16,1183,105,"hash-local",5,42,445,366
lang39,PTLRH,1396,5:2,1263,132,"hash-local",8,44,457,396
lang43,PTLRH,23,2:45,17,5,"hash-local",1,3,10,10
lang45,PTLRH,3965,10:49,3381,583,"hash-local",18,107,1280,1085
lang51,PLRT,2184,4:26,1905,277,"hash-local",27,112,819,584
lang57,PTLRH,360,1:8,346,13,"hash-local",2,12,131,102
lang59,PTLRH,608,1:38,544,63,"hash-local",4,19,241,187
lang60,PTLRH,2865,5:51,2374,490,"neighbors",24,133,1308,1046
lang63,PTLRH,17,0:45,15,1,"neighbors",1,2,10,7
math2,PTLRH,4973,13:57,3707,1265,"hash-local",50,246,2230,1703
math3,PTLRH,1635,10:29,1240,394,"hash-local",15,113,776,642
math5,PTLRH,273,4:18,154,118,"hash-local",2,19,101,65
math7,PLRT,35263,183:11,27182,8079,"neighbors",298,1883,18531,12807
math8,PTLRH,979,5:59,935,43,"neighbors",8,56,368,319
math18,PTLRH,3664,70:58,3010,653,"hash-local",38,193,1254,1087
math20,PTLRH,52,4:10,41,10,"hash-local",1,4,18,14
math28,PTLRH,21,2:25,18,2,"neighbors",1,2,7,7
math29,PTLRH,15916,41:48,14135,1780,"neighbors",144,661,6100,4941
math30,PTLRH,2193,5:7,1978,214,"neighbors",12,85,959,694
math32,PTLRH,4872,9:34,4402,469,"hash-local",34,182,1783,1465
math33,PTLRH,10289,19:53,9210,1078,"hash-local",72,372,4273,3453
math34,PTLRH,160,2:12,138,21,"hash-local",2,9,93,74
math40,PTLRH,1603,6:17,1292,310,"hash-local",17,100,1049,781
math42,PTLRH,14783,37:57,13154,1628,"hash-local",115,653,6321,5153
math44,PLRT,25010,70:5,20033,4975,"hash-local",207,1042,11215,7980
math49,PTLRH,1480,3:10,1372,107,"hash-local",10,45,503,432
math50,PTLRH,33,1:53,25,7,"hash-local",2,6,18,11
math56,PTLRH,1527,16:2,1149,377,"hash-package",16,89,603,483
math57,PTLRH,1880,8:31,1696,183,"neighbors",9,78,776,613
math58,PTLRH,1658,3:37,1517,140,"hash-local",13,75,767,577
math61,PLRT,20455,47:47,17077,3376,"hash-local",394,953,7403,5755
math62,PLRT,20341,34:13,18226,2113,"neighbors",117,615,8121,6291
math63,PTLRH,19,1:51,18,0,"hash-local",1,3,7,5
math70,PTLRH,116,1:4,101,14,"hash-local",1,4,51,40
math74,PTLRH,8606,75:53,7811,794,"neighbors",47,231,3214,2629
math75,PLRT,4890,9:52,4238,650,"neighbors,local+members",49,248,2302,1635
math78,PTLRH,3747,7:35,3030,716,"neighbors,local+members",20,108,1518,1110
math79,PTLRH,4288,7:33,4005,282,"neighbors",31,189,1809,1425
math80,PTLRH,1531,9:41,1244,286,"neighbors",5,49,456,383
math81,PTLRH,515,3:13,415,99,"hash-local",3,21,169,136
math82,PTLRH,4087,11:37,3720,366,"hash-local",29,177,2004,1581
math84,PTLRH,191,1:29,177,13,"hash-local",2,13,121,88
math85,PTLRH,6259,54:8,5125,1133,"neighbors",80,361,3992,2617
math88,PTLRH,6209,15:14,5580,628,"neighbors",53,278,3097,2435
math94,PTLRH,1461,33:50,1209,251,"hash-local",16,71,641,494
math95,PTLRH,1237,8:49,1112,124,"hash-local",8,44,573,424
time4,PTLRH,1,0:56,0,0,"neighbors,local+members",1,1,1,1
time7,PTLRH,825,2:57,765,59,"hash-local",3,20,249,212
time9,PTLRH,4017,8:0,3759,257,"hash-local",29,124,1347,1108
time11,PTLRH,12097,21:1,11211,885,"neighbors",54,340,4452,3456
time17,PTLRH,380,2:33,340,39,"hash-local",3,15,145,109
time19,PTLRH,134,1:10,128,5,"hash-local",1,4,44,36
